id,token,tag
0,Гелман,O
1,указал,O
2,простую,O
3,формулу,O
4,для,O
5,числа,O
6,подгрупп,O
7,данного,O
8,конечного,O
9,индекса,O
10,в,O
11,группах,O
12,Баумслага–Солитера,O
13,BS,O
14,(,O
15,p,O
16,",",O
17,q,O
18,),O
19,=,O
20,<,O
21,a,O
22,",",O
23,t,O
24,:,O
25,t^,O
26,(,O
27,−,O
28,1,O
29,),O
30,*,O
31,a,O
32,^,O
33,p,O
34,*,O
35,t,O
36,=,O
37,a,O
38,^,O
39,q,O
40,>,O
41,при,O
42,взаимно,O
43,простых,O
44,параметрах,O
45,p,O
46,и,O
47,q,O
48,.,O
49,В,O
50,работе,O
51,решена,Contrib
52,аналогичная,Contrib
53,задача,Contrib
54,для,Contrib
55,произвольных,Contrib
56,ненулевых,Contrib
57,целых,Contrib
58,параметров,Contrib
59,.,O
60,Решение,O
61,основано,O
62,на,O
63,комбинаторном,Method
64,подсчёте,Method
65,при,O
66,заданной,O
67,подстановке,O
68,x,O
69,",",O
70,принадлежащей,O
71,Sn,O
72,",",O
73,количества,O
74,подстановок,O
75,y,O
76,",",O
77,принадлежащих,O
78,Sn,O
79,",",O
80,для,O
81,которых,O
82,подгруппа,O
83,порожденная,O
84,x,O
85,и,O
86,y,O
87,транзитивна,O
88,.,O
