id,token,tag
0,Проведено,Contrib
1,исследование,Contrib
2,влияния,Contrib
3,распределенного,Contrib
4,вдува,Contrib
5,газа,Contrib
6,с,Contrib
7,большой,Contrib
8,теплоемкостью,Contrib
9,в,Contrib
10,сверхзвуковой,Contrib
11,пограничный,Contrib
12,слой,Contrib
13,на,Contrib
14,его,Contrib
15,устойчивость,Contrib
16,к,Contrib
17,искусственным,Contrib
18,возмущениям,Contrib
19,.,O
20,Показано,O
21,",",O
22,что,O
23,вдув,Conc
24,газа,Conc
25,с,Conc
26,большой,Conc
27,теплоемкостью,Conc
28,Cp,Conc
29,при,Conc
30,некоторых,Conc
31,значениях,Conc
32,расхода,Conc
33,может,Conc
34,приводить,Conc
35,к,Conc
36,стабилизации,Conc
37,сверхзвукового,Conc
38,пограничного,Conc
39,слоя,Conc
40,.,O
