id,token,tag
0,Позитивная,O
1,оценка,O
2,правосудия,O
3,зависит,O
4,",",O
5,в,O
6,том,O
7,числе,O
8,",",O
9,и,O
10,от,O
11,ценности,O
12,самого,O
13,результата,O
14,судебного,O
15,разбирательства,O
16,.,O
17,В,O
18,связи,O
19,с,O
20,этим,O
21,особое,O
22,значение,O
23,приобретают,O
24,мотивация,O
25,в,O
26,достижении,O
27,цели,O
28,правосудия,O
29,",",O
30,наличие,O
31,фактически,O
32,равных,O
33,возможностей,O
34,сторон,O
35,в,O
36,судебном,O
37,процессе,O
38,",",O
39,обеспечение,O
40,свободы,O
41,субъектов,O
42,в,O
43,выборе,O
44,способов,O
45,защиты,O
46,нарушенных,O
47,прав,O
48,.,O
49,Уделяется,O
50,внимание,O
51,теории,O
52,справедливости,O
53,и,O
54,ожидания,O
55,",",O
56,которая,O
57,рассматривается,O
58,в,O
59,качестве,O
60,процессуальной,O
61,теории,O
62,равенства,O
63,",",O
64,свободы,O
65,и,O
66,мотивации,O
67,.,O
68,Справедливость,Contrib
69,исследуется,Contrib
70,как,Contrib
71,универсальная,Contrib
72,категория,Contrib
73,",",Contrib
74,позволяющая,Contrib
75,определить,Contrib
76,эффективность,Contrib
77,отправляемого,Contrib
78,правосудия,Contrib
79,и,Contrib
80,приоритет,Contrib
81,для,Contrib
82,лица,Contrib
83,тех,Contrib
84,или,Contrib
85,иных,Contrib
86,результатов,Contrib
87,.,O
88,В,Conc
89,основу,Conc
90,права,Conc
91,на,Conc
92,справедливое,Conc
93,судебное,Conc
94,разбирательство,Conc
95,",",Conc
96,по,Conc
97,мнению,Conc
98,автора,Conc
99,настоящей,Conc
100,статьи,Conc
101,",",Conc
102,положена,Conc
103,триада,Conc
104,форм,Conc
105,справедливости,Conc
106,",",Conc
107,образующих,Conc
108,цикл,Conc
109,эффективной,Conc
110,реализации,Conc
111,указанного,Conc
112,права,Conc
113,",",Conc
114,–,Conc
115,ожидание,Conc
116,справедливости,Conc
117,",",Conc
118,справедливое,Conc
119,судебное,Conc
120,разбирательство,Conc
121,",",Conc
122,справедливый,Conc
123,результат,Conc
124,.,O
125,Любая,Conc
126,из,Conc
127,перечисленных,Conc
128,форм,Conc
129,справедливости,Conc
130,в,Conc
131,рамках,Conc
132,права,Conc
133,на,Conc
134,справедливое,Conc
135,судебное,Conc
136,разбирательство,Conc
137,обладает,Conc
138,собственными,Conc
139,задачами,Conc
140,судопроизводства,Conc
141,.,O
142,Единство,Conc
143,объективных,Conc
144,(,Conc
145,легальных,Conc
146,),Conc
147,и,Conc
148,субъективных,Conc
149,(,Conc
150,внутренних,Conc
151,),Conc
152,задач,Conc
153,каждой,Conc
154,из,Conc
155,форм,Conc
156,справедливости,Conc
157,способствует,Conc
158,созданию,Conc
159,реальной,Conc
160,справедливости,Conc
161,.,O
162,При,Conc
163,вынесении,Conc
164,решения,Conc
165,судья,Conc
166,в,Conc
167,случае,Conc
168,отсутствия,Conc
169,формального,Conc
170,источника,Conc
171,права,Conc
172,не,Conc
173,должен,Conc
174,ограничиваться,Conc
175,исключительно,Conc
176,позитивистским,Conc
177,подходом,Conc
178,.,O
