id,token,tag
0,Рассмотрен,Contrib
1,численный,Contrib|Method
2,метод,Contrib|Method
3,решения,Contrib
4,задачи,Contrib
5,минимизации,Contrib|Task
6,расхода,Contrib|Task
7,ресурсов,Contrib|Task
8,для,Contrib
9,линейных,Contrib
10,динамических,Contrib
11,систем,Contrib
12,с,Contrib
13,возмущениями,Contrib
14,.,O
15,Метод,O
16,основан,O
17,на,O
18,формировании,O
19,финитного,O
20,управления,O
21,",",O
22,переводящего,O
23,за,O
24,фиксированное,O
25,время,O
26,линейную,O
27,систему,O
28,из,O
29,любого,O
30,начального,O
31,состояния,O
32,в,O
33,требуемое,O
34,конечное,O
35,состояние,O
36,и,O
37,позволяющего,O
38,определить,O
39,структуру,O
40,оптимального,O
41,по,O
42,расходу,O
43,ресурсов,O
44,управления,O
45,.,O
46,Дан,Contrib
47,способ,Contrib
48,задания,Contrib
49,начального,Contrib
50,приближения,Contrib
51,и,O
52,предложен,Contrib
53,итерационный,Contrib
54,алгоритм,Contrib
55,вычисления,Contrib
56,оптимального,Contrib
57,управления,Contrib
58,.,O
59,Получена,Contrib
60,система,Contrib
61,линейных,Contrib
62,алгебраических,Contrib
63,уравнений,Contrib
64,",",Contrib
65,связывающая,Contrib
66,отклонения,Contrib
67,начальных,Contrib
68,условий,Contrib
69,сопряженной,Contrib
70,системы,Contrib
71,с,Contrib
72,отклонениями,Contrib
73,фазовых,Contrib
74,координат,Contrib
75,от,Contrib
76,заданного,Contrib
77,конечного,Contrib
78,состояния,Contrib
79,.,O
80,Приведен,Contrib
81,вычислительный,Contrib
82,алгоритм,Contrib
83,.,O
84,Найден,Contrib
85,радиус,Contrib
86,и,Contrib
87,установлена,Contrib
88,квадратичная,Contrib
89,скорость,Contrib
90,локальной,Contrib
91,сходимости,Contrib
92,.,O
93,Доказана,Contrib
94,сходимость,Contrib
95,вычислительного,Contrib
96,процесса,Contrib
97,и,Contrib
98,последовательности,Contrib
99,управлений,Contrib
100,к,Contrib
101,оптимальному,Contrib
102,по,Contrib
103,расходу,Contrib
104,ресурсов,Contrib
105,управлению,Contrib
106,.,O
